Time(s),Concentration(kmol/m3),Temperature(K)
0.0000,0.0000,300.0000
0.1000,0.0050,300.2493
0.2000,0.0099,300.4974
0.3000,0.0149,300.7442
0.4000,0.0197,300.9897
0.5000,0.0246,301.2339
0.6000,0.0294,301.4769
0.7000,0.0342,301.7186
0.8000,0.0389,301.9591
0.9000,0.0437,302.1984
1.0000,0.0483,302.4365
1.1000,0.0530,302.6734
1.2000,0.0576,302.9091
1.3000,0.0622,303.1437
1.4000,0.0667,303.3771
1.5000,0.0712,303.6093
1.6000,0.0757,303.8404
1.7000,0.0801,304.0704
1.8000,0.0845,304.2992
1.9000,0.0889,304.5270
2.0000,0.0932,304.7536
2.1000,0.0975,304.9792
2.2000,0.1017,305.2037
2.3000,0.1060,305.4271
2.4000,0.1101,305.6495
2.5000,0.1143,305.8709
2.6000,0.1184,306.0912
2.7000,0.1224,306.3105
2.8000,0.1265,306.5288
2.9000,0.1304,306.7461
3.0000,0.1344,306.9625
3.1000,0.1383,307.1778
3.2000,0.1422,307.3922
3.3000,0.1460,307.6057
3.4000,0.1498,307.8182
3.5000,0.1535,308.0298
3.6000,0.1572,308.2405
3.7000,0.1609,308.4502
3.8000,0.1645,308.6591
3.9000,0.1681,308.8671
4.0000,0.1716,309.0742
4.1000,0.1751,309.2805
4.2000,0.1786,309.4859
4.3000,0.1820,309.6904
4.4000,0.1853,309.8942
4.5000,0.1887,310.0971
4.6000,0.1919,310.2992
4.7000,0.1952,310.5005
4.8000,0.1984,310.7010
4.9000,0.2015,310.9008
5.0000,0.2046,311.0997
5.1000,0.2077,311.2979
5.2000,0.2107,311.4954
5.3000,0.2136,311.6921
5.4000,0.2166,311.8881
5.5000,0.2194,312.0834
5.6000,0.2223,312.2780
5.7000,0.2251,312.4719
5.8000,0.2278,312.6651
5.9000,0.2305,312.8576
6.0000,0.2331,313.0494
6.1000,0.2357,313.2406
6.2000,0.2383,313.4311
6.3000,0.2408,313.6210
6.4000,0.2432,313.8103
6.5000,0.2456,313.9989
6.6000,0.2480,314.1869
6.7000,0.2503,314.3743
6.8000,0.2525,314.5612
6.9000,0.2547,314.7474
7.0000,0.2569,314.9330
7.1000,0.2590,315.1181
7.2000,0.2610,315.3026
7.3000,0.2630,315.4866
7.4000,0.2650,315.6700
7.5000,0.2669,315.8529
7.6000,0.2687,316.0353
7.7000,0.2705,316.2171
7.8000,0.2723,316.3984
7.9000,0.2740,316.5792
8.0000,0.2756,316.7595
8.1000,0.2772,316.9393
8.2000,0.2788,317.1187
8.3000,0.2803,317.2975
8.4000,0.2817,317.4759
8.5000,0.2831,317.6538
8.6000,0.2845,317.8313
8.7000,0.2858,318.0083
8.8000,0.2870,318.1849
8.9000,0.2882,318.3610
9.0000,0.2893,318.5367
9.1000,0.2904,318.7119
9.2000,0.2914,318.8868
9.3000,0.2924,319.0612
9.4000,0.2933,319.2352
9.5000,0.2942,319.4088
9.6000,0.2950,319.5820
9.7000,0.2958,319.7548
9.8000,0.2965,319.9272
9.9000,0.2972,320.0992
10.0000,0.2978,320.2709
10.1000,0.2984,320.4421
10.2000,0.2989,320.6130
10.3000,0.2993,320.7835
10.4000,0.2997,320.9537
10.5000,0.3001,321.1235
10.6000,0.3004,321.2929
10.7000,0.3007,321.4619
10.8000,0.3009,321.6306
10.9000,0.3010,321.7990
11.0000,0.3011,321.9669
11.1000,0.3012,322.1346
11.2000,0.3012,322.3019
11.3000,0.3012,322.4688
11.4000,0.3011,322.6354
11.5000,0.3009,322.8017
11.6000,0.3007,322.9676
11.7000,0.3005,323.1331
11.8000,0.3002,323.2983
11.9000,0.2999,323.4632
12.0000,0.2995,323.6278
12.1000,0.2991,323.7920
12.2000,0.2986,323.9558
12.3000,0.2981,324.1193
12.4000,0.2976,324.2825
12.5000,0.2970,324.4453
12.6000,0.2963,324.6078
12.7000,0.2956,324.7699
12.8000,0.2949,324.9317
12.9000,0.2941,325.0931
13.0000,0.2933,325.2542
13.1000,0.2924,325.4149
13.2000,0.2915,325.5753
13.3000,0.2906,325.7353
13.4000,0.2896,325.8950
13.5000,0.2886,326.0542
13.6000,0.2875,326.2132
13.7000,0.2864,326.3717
13.8000,0.2853,326.5299
13.9000,0.2841,326.6876
14.0000,0.2829,326.8450
14.1000,0.2817,327.0020
14.2000,0.2804,327.1587
14.3000,0.2791,327.3149
14.4000,0.2777,327.4707
14.5000,0.2764,327.6261
14.6000,0.2750,327.7811
14.7000,0.2735,327.9357
14.8000,0.2721,328.0898
14.9000,0.2706,328.2435
15.0000,0.2691,328.3968
15.1000,0.2675,328.5497
15.2000,0.2659,328.7021
15.3000,0.2643,328.8540
15.4000,0.2627,329.0055
15.5000,0.2611,329.1566
15.6000,0.2594,329.3071
15.7000,0.2577,329.4572
15.8000,0.2560,329.6068
15.9000,0.2542,329.7559
16.0000,0.2525,329.9045
16.1000,0.2507,330.0526
16.2000,0.2489,330.2002
16.3000,0.2471,330.3472
16.4000,0.2453,330.4938
16.5000,0.2435,330.6398
16.6000,0.2416,330.7852
16.7000,0.2397,330.9301
16.8000,0.2379,331.0745
16.9000,0.2360,331.2183
17.0000,0.2341,331.3615
17.1000,0.2322,331.5042
17.2000,0.2303,331.6463
17.3000,0.2283,331.7877
17.4000,0.2264,331.9286
17.5000,0.2245,332.0689
17.6000,0.2225,332.2086
17.7000,0.2206,332.3476
17.8000,0.2187,332.4860
17.9000,0.2167,332.6238
18.0000,0.2148,332.7610
18.1000,0.2128,332.8975
18.2000,0.2109,333.0334
18.3000,0.2089,333.1686
18.4000,0.2070,333.3031
18.5000,0.2050,333.4370
18.6000,0.2031,333.5702
18.7000,0.2011,333.7027
18.8000,0.1992,333.8345
18.9000,0.1973,333.9657
19.0000,0.1954,334.0961
19.1000,0.1935,334.2259
19.2000,0.1916,334.3549
19.3000,0.1897,334.4833
19.4000,0.1878,334.6109
19.5000,0.1859,334.7378
19.6000,0.1840,334.8640
19.7000,0.1822,334.9894
19.8000,0.1803,335.1142
19.9000,0.1785,335.2382
20.0000,0.1767,335.3615
20.1000,0.1749,335.4840
20.2000,0.1731,335.6058
20.3000,0.1713,335.7268
20.4000,0.1696,335.8471
20.5000,0.1678,335.9667
20.6000,0.1661,336.0855
20.7000,0.1644,336.2036
20.8000,0.1627,336.3209
20.9000,0.1610,336.4375
21.0000,0.1593,336.5533
21.1000,0.1577,336.6684
21.2000,0.1560,336.7827
21.3000,0.1544,336.8963
21.4000,0.1528,337.0091
21.5000,0.1512,337.1211
21.6000,0.1497,337.2325
21.7000,0.1481,337.3430
21.8000,0.1466,337.4529
21.9000,0.1451,337.5619
22.0000,0.1436,337.6703
22.1000,0.1422,337.7779
22.2000,0.1407,337.8847
22.3000,0.1393,337.9908
22.4000,0.1379,338.0962
22.5000,0.1365,338.2009
22.6000,0.1351,338.3048
22.7000,0.1337,338.4080
22.8000,0.1324,338.5104
22.9000,0.1311,338.6122
23.0000,0.1298,338.7132
23.1000,0.1285,338.8135
23.2000,0.1273,338.9131
23.3000,0.1260,339.0120
23.4000,0.1248,339.1102
23.5000,0.1236,339.2077
23.6000,0.1224,339.3045
23.7000,0.1213,339.4006
23.8000,0.1201,339.4960
23.9000,0.1190,339.5908
24.0000,0.1179,339.6849
24.1000,0.1168,339.7783
24.2000,0.1157,339.8710
24.3000,0.1147,339.9631
24.4000,0.1136,340.0545
24.5000,0.1126,340.1452
24.6000,0.1116,340.2353
24.7000,0.1106,340.3248
24.8000,0.1096,340.4136
24.9000,0.1087,340.5018
25.0000,0.1077,340.5894
25.1000,0.1068,340.6763
25.2000,0.1059,340.7627
25.3000,0.1050,340.8484
25.4000,0.1041,340.9335
25.5000,0.1033,341.0180
25.6000,0.1024,341.1019
25.7000,0.1016,341.1853
25.8000,0.1008,341.2680
25.9000,0.0999,341.3502
26.0000,0.0992,341.4317
26.1000,0.0984,341.5128
26.2000,0.0976,341.5932
26.3000,0.0969,341.6731
26.4000,0.0961,341.7524
26.5000,0.0954,341.8312
26.6000,0.0947,341.9095
26.7000,0.0940,341.9872
26.8000,0.0933,342.0643
26.9000,0.0926,342.1410
27.0000,0.0919,342.2171
27.1000,0.0913,342.2927
27.2000,0.0906,342.3677
27.3000,0.0900,342.4423
27.4000,0.0894,342.5164
27.5000,0.0888,342.5899
27.6000,0.0882,342.6630
27.7000,0.0876,342.7356
27.8000,0.0870,342.8077
27.9000,0.0864,342.8793
28.0000,0.0858,342.9504
28.1000,0.0853,343.0211
28.2000,0.0847,343.0913
28.3000,0.0842,343.1610
28.4000,0.0837,343.2302
28.5000,0.0832,343.2991
28.6000,0.0827,343.3674
28.7000,0.0821,343.4353
28.8000,0.0817,343.5028
28.9000,0.0812,343.5698
29.0000,0.0807,343.6364
29.1000,0.0802,343.7026
29.2000,0.0797,343.7683
29.3000,0.0793,343.8336
29.4000,0.0788,343.8985
29.5000,0.0784,343.9630
29.6000,0.0779,344.0270
29.7000,0.0775,344.0907
29.8000,0.0771,344.1539
29.9000,0.0767,344.2167
30.0000,0.0763,344.2792
30.1000,0.0759,344.3412
30.2000,0.0755,344.4029
30.3000,0.0751,344.4641
30.4000,0.0747,344.5250
30.5000,0.0743,344.5855
30.6000,0.0739,344.6456
30.7000,0.0735,344.7054
30.8000,0.0732,344.7647
30.9000,0.0728,344.8237
31.0000,0.0724,344.8824
31.1000,0.0721,344.9406
31.2000,0.0717,344.9986
31.3000,0.0714,345.0561
31.4000,0.0711,345.1133
31.5000,0.0707,345.1701
31.6000,0.0704,345.2266
31.7000,0.0701,345.2828
31.8000,0.0697,345.3386
31.9000,0.0694,345.3940
32.0000,0.0691,345.4491
32.1000,0.0688,345.5039
32.2000,0.0685,345.5584
32.3000,0.0682,345.6125
32.4000,0.0679,345.6663
32.5000,0.0676,345.7197
32.6000,0.0673,345.7729
32.7000,0.0670,345.8257
32.8000,0.0667,345.8782
32.9000,0.0664,345.9304
33.0000,0.0662,345.9822
33.1000,0.0659,346.0338
33.2000,0.0656,346.0850
33.3000,0.0654,346.1360
33.4000,0.0651,346.1866
33.5000,0.0648,346.2369
33.6000,0.0646,346.2869
33.7000,0.0643,346.3367
33.8000,0.0641,346.3861
33.9000,0.0638,346.4352
34.0000,0.0636,346.4841
34.1000,0.0633,346.5326
34.2000,0.0631,346.5809
34.3000,0.0628,346.6288
34.4000,0.0626,346.6765
34.5000,0.0624,346.7239
34.6000,0.0621,346.7710
34.7000,0.0619,346.8179
34.8000,0.0617,346.8645
34.9000,0.0615,346.9107
35.0000,0.0612,346.9568
35.1000,0.0610,347.0025
35.2000,0.0608,347.0480
35.3000,0.0606,347.0932
35.4000,0.0604,347.1381
35.5000,0.0602,347.1828
35.6000,0.0600,347.2272
35.7000,0.0598,347.2714
35.8000,0.0596,347.3152
35.9000,0.0594,347.3589
36.0000,0.0592,347.4023
36.1000,0.0590,347.4454
36.2000,0.0588,347.4882
36.3000,0.0586,347.5309
36.4000,0.0584,347.5732
36.5000,0.0582,347.6154
36.6000,0.0580,347.6572
36.7000,0.0578,347.6989
36.8000,0.0576,347.7402
36.9000,0.0575,347.7814
37.0000,0.0573,347.8223
37.1000,0.0571,347.8630
37.2000,0.0569,347.9034
37.3000,0.0567,347.9436
37.4000,0.0566,347.9835
37.5000,0.0564,348.0233
37.6000,0.0562,348.0627
37.7000,0.0561,348.1020
37.8000,0.0559,348.1410
37.9000,0.0557,348.1799
38.0000,0.0556,348.2184
38.1000,0.0554,348.2568
38.2000,0.0552,348.2949
38.3000,0.0551,348.3329
38.4000,0.0549,348.3705
38.5000,0.0548,348.4080
38.6000,0.0546,348.4453
38.7000,0.0545,348.4823
38.8000,0.0543,348.5192
38.9000,0.0542,348.5558
39.0000,0.0540,348.5922
39.1000,0.0539,348.6284
39.2000,0.0537,348.6644
39.3000,0.0536,348.7001
39.4000,0.0534,348.7357
39.5000,0.0533,348.7711
39.6000,0.0531,348.8062
39.7000,0.0530,348.8412
39.8000,0.0529,348.8759
39.9000,0.0527,348.9105
40.0000,0.0526,348.9448
40.1000,0.0525,348.9790
